SKU,Name1,Name2
SKU20240521_222644_I MAY BE OLD BUT I GOT TO SEE ALL THE COOL BANDS,I MAY BE OLD BUT I GOT TO,SEE ALL THE COOL BANDS
SKU20240521_222645_EMOTIONALLY ATTACHED TO FICTIONAL CHARACTERS,EMOTIONALLY ATTACHED TO,FICTIONAL CHARACTERS
SKU20240521_222646_I LOVE IT WHEN SHE BENDS OVER,I LOVE IT WHEN,SHE BENDS OVER
SKU20240521_222647_ILL DIET WHEN IM DEAD,I'LL DIET,WHEN I'M DEAD
SKU20240521_222648_IM PRETTY COOL BUT I CRY A LOT,I'M PRETTY COOL,BUT I CRY A LOT
SKU20240521_222649_YOU HAD ME AT TRIGGER WARNING,YOU HAD ME AT,TRIGGER WARNING
SKU20240521_222650_JUST SO YOU KNOW THERES A LOT OF KIDS IN HERE,JUST SO YOU KNOW THERE'S,A LOT OF KIDS IN HERE
SKU20240521_222651_WHEN I DIE DELETE MY KINDLE HISTORY,WHEN I DIE DELETE,MY KINDLE HISTORY
SKU20240521_222653_TOMORROW NEEDS YOU,TOMORROW,NEEDS YOU
SKU20240521_222654_WHEN I DIE THE CAT GETS EVERYTHING,WHEN I DIE THE CAT,GETS EVERYTHING
SKU20240521_222655_REMEMBER WHY YOU STARTED STICKER,REMEMBER WHY YOU,STARTED STICKER
SKU20240521_222656_CAUTION DRIVER SINGING,CAUTION,DRIVER SINGING
SKU20240521_222657_ADOPT DONT SHOP,ADOPT,DONT SHOP
SKU20240521_222658_HONK IF YOUR GAY,HONK IF,YOUR GAY
SKU20240521_222659_YOU CANT FIX WHAT YOU ALREADY BROKE,YOU CAN'T FIX WHAT,YOU ALREADY BROKE
SKU20240521_222700_IF PAPA CANT FIX IT WERE ALL SCREWED,IF PAPA CAN'T FIX IT,WE'RE ALL SCREWED
SKU20240521_222701_YOU CANT FIX STUPID BUT YOU CAN VOTE IT OUT,YOU CAN'T FIX STUPID BUT,YOU CAN VOTE IT OUT
SKU20240521_222702_IF YOU CANT FIX CORRUPTION THEN VOTE,IF YOU CAN'T FIX,CORRUPTION THEN VOTE
SKU20240521_222703_YOU CANT FIX STUPID BUT YOU CAN DIVORCE IT,YOU CAN'T FIX STUPID,BUT YOU CAN DIVORCE IT
SKU20240521_222704_I CANT FIX YOU AND I CANT SAVE YOU,I CAN'T FIX YOU AND,I CAN'T SAVE YOU
SKU20240521_222705_YOU CANT SCARE ME I AM MARRIED TO A MECHANIC,"YOU CAN'T SCARE ME, I AM",MARRIED TO A MECHANIC
SKU20240521_222706_YOU CANT FIX STUPID NOT EVEN WITH DUCT TAPE,"YOU CAN'T FIX STUPID,",NOT EVEN WITH DUCT TAPE
SKU20240521_222707_YOU CANT FIX STUPID BUT YOU CAN SEDATE IT,YOU CAN'T FIX STUPID,BUT YOU CAN SEDATE IT
